name,mass,semi_major_axis,temp_eq,star_luminosity,star_radius,star_teff,star_mass,radius
HIP 94235 Ab,11.187559912132553,0.0787,1084.7303048050321,1.3556311409956658,1.08,5991.0,1.094,3.2080102851946504
K2-106 c,5.720911318704146,0.1091,815.1291077359886,0.8625148761511459,0.98,5617.0,0.97,2.840355717219862
K2-123 b,2828.6728186926057,0.1649,368.2038286150687,0.08324821437029119,0.59,4035.0,0.62,2.7574092598109154
K2-137 b,158.9142032973374,0.0058,1466.6276700141748,0.025971620033085042,0.44,3492.0,0.46,0.8855094777441558
K2-138 b,3.114718384627813,0.0338,1337.414325991873,0.5581833032135771,0.86,5378.0,0.93,1.5692573023314154
K2-138 c,6.293002450574561,0.04454,1152.672699962487,0.5581833032135771,0.86,5378.0,0.93,2.5220206644612033
K2-138 d,7.9139273242074015,0.05883,1007.6546448642481,0.5581833032135771,0.86,5378.0,0.93,2.656528433232467
K2-138 f,1.589142032973374,0.1043,758.0140079338408,0.5581833032135771,0.86,5378.0,0.93,2.8134541634656087
K2-138 g,4.29068348902811,0.231,500.5951451595885,0.5581833032135771,0.86,5378.0,0.93,3.0129740204763173
K2-182 b,20.023189615464513,0.0526,971.4997061094887,0.4109207052264523,0.8,5165.0,0.88,2.690155375425283
K2-18 b,8.921443373112522,0.1429,283.80796992841,0.021660175891169614,0.41,3457.0,0.36,2.3650949342280616
K2-199 b,6.896876423104443,0.0382,945.6793616564796,0.1947058724544221,0.68,4648.0,0.73,1.7295457267838383
K2-19 c,12.49065637917072,0.0971,780.2222636607994,0.5800867801034018,0.86,5430.0,0.93,4.864697637227388
K2-222 b,5.689128478044679,0.1211,879.2483961941366,1.4436663017913305,1.09,6058.0,1.0,2.4099308571518163
K2-229 c,21.294503241843213,0.0769,821.4609865704903,0.4493285408735635,0.79,5315.0,0.87,2.028825512299901
K2-229 d,25.108444120979307,0.182,545.0939212697907,0.4493285408735635,0.79,5315.0,0.87,2.649803044793904
K2-233 b,3.3054154285846176,0.03317,1127.4093204273704,0.29660671745887596,0.74,4950.0,0.8,1.401122591367335
K2-233 d,8.295321412121012,0.1527,525.4541641323718,0.29660671745887596,0.74,4950.0,0.8,2.6453194525015284
K2-236 b,27.01541456054736,0.1493,892.9516242567602,2.364802619841099,1.39,6069.0,1.17,5.761416095702482
K2-238 b,273.3324296714203,0.046,1596.1045623409213,2.291524872130065,1.59,5630.0,1.19,14.571674950220284
K2-266 Ac,0.2892238500011541,0.0679,691.5748288867462,0.1758233014158725,0.7337,4362.0,0.68,0.7061657860491369
K2-266 Ad,8.899195384650895,0.1035,560.180640657983,0.1758233014158725,0.7337,4362.0,0.68,2.9255439707749957
K2-266 Ae,14.299100012694419,0.1249,509.91462544305796,0.1758233014158725,0.7337,4362.0,0.68,2.734991298349038
K2-285 d,6.499590914861099,0.1178,621.2512610904749,0.34492388596582524,0.79,4975.0,0.83,2.4771847415374486
K2-285 e,10.701282450042699,0.18041,502.00682926335924,0.34492388596582524,0.79,4975.0,0.83,1.9503626471833302
K2-290 Ab,10.901514346197345,0.0923,1229.134247953569,3.2446229618552422,1.51,6302.0,1.19,3.06005173954626
K2-310 b,9.239271779707195,0.098,581.8408107720105,0.17995670925862486,0.673,4581.0,0.69,2.589274548846835
K2-31 Ab,563.827593298953,0.022,1761.0468173611619,0.7767701446675234,1.029,5340.0,0.922,11.881519574795002
K2-32 Ac,8.104624368164206,0.1399,628.1998839406184,0.5080054773920627,0.84,5315.0,0.86,2.734991298349038
K2-32 Ad,6.706179379147638,0.1862,544.5305602645445,0.5080054773920627,0.84,5315.0,0.86,3.2730223734340944
K2-32 Ae,2.0976674835248534,0.04951,1055.9180547276617,0.5080054773920627,0.84,5315.0,0.86,1.0088082657844812
K2-36 Bb,3.8997545489166594,0.0223,1338.1428141261094,0.2660621812327075,0.754,4772.39,0.769,1.4347495335601512
K2-36 Bc,7.799509097833319,0.054,859.9199366181408,0.2660621812327075,0.754,4772.39,0.769,3.119459337420235
K2-38 b,19.069704395680485,0.04994,1321.4668950993782,1.2442012439980883,1.141,5705.0,1.054,1.905526724259576
K2-38 c,9.90035486542412,0.0964,949.5524950429541,1.2442012439980883,1.141,5705.0,1.054,2.421139837882755
K2-39 b,28.60455659352073,0.062,1629.0127572043066,4.516945771467379,2.97,4881.0,0.66,6.277029209325661
K2-3 b,6.480521210465419,0.0775,505.00468631600364,0.06518513874007326,0.56,3896.0,0.6,2.174542261802104
K2-3 c,2.1389851763821612,0.1405,375.06634595147204,0.06518513874007326,0.56,3896.0,0.6,1.8494818206048824
K2-3 d,2.800068262099085,0.2086,307.81452374944683,0.06518513874007326,0.56,3896.0,0.6,1.513212398676722
K2-415 b,2.860455659352073,0.027,412.81136509456206,0.003531035998779515,0.1965,3173.0,0.1635,1.0149732051864977
K2-55 b,43.860320110065125,0.03486,915.2215997242682,0.1411752530775931,0.63,4456.0,0.7,3.8222624292500904
K2-66 b,21.300859809975105,0.05983,1499.7748542400477,3.0220791384863803,1.67,5887.0,1.11,2.488393722268387
K2-95 b,530.7734390131069,0.0696,421.642883767274,0.02521911097902401,0.42,3548.0,0.44,3.8783073329047832
KELT-11 Ab,61.976539285961586,0.06229,1711.129466414812,5.550494776028981,2.72,5370.0,1.438,14.571674950220284
KELT-12 b,301.936986264941,0.0617,1396.231870287662,2.414149005364045,1.291,6330.0,1.239,20.06407550838024
KELT-1 Ab,8654.467511572995,0.02472,2423.828599644529,3.5192198239395545,1.471,6516.0,1.335,12.890327840579483
KELT-6 b,139.84449890165692,0.0747,1368.4485183994996,3.263893030368781,1.529,6272.0,1.126,12.666148225960708
KELT-8 b,277.7820273637458,0.04571,1677.344706391721,2.7580943580993913,1.67,5754.0,1.211,20.848704159545946
Kepler-101 b,50.85254505514797,0.0474,1569.1434062159035,2.2644294510060425,1.56,5667.0,1.17,5.716580172778727
Kepler-101 c,3.178284065946748,0.0684,1305.0307916281097,2.2644294510060425,1.56,5667.0,1.17,1.2554058418651322
Kepler-103 b,9.852680604434918,0.133,930.8190108007537,2.18353316946949,1.44,5845.0,1.09,3.373903200012543
Kepler-103 c,36.23243835179293,0.6679,414.37060391295967,2.18353316946949,1.44,5845.0,1.09,5.144922155500854
